iter	Passed	Remaining
378	6490	10635
379	6511	10624
380	6540	10625
381	6555	10605
382	6571	10586
383	6586	10566
384	6601	10546
385	6619	10529
386	6635	10509
387	6650	10490
388	6671	10479
389	6689	10462
390	6704	10442
391	6721	10425
392	6739	10408
393	6754	10388
394	6770	10369
395	6785	10349
396	6801	10331
397	6816	10310
398	6832	10291
399	6847	10271
400	6863	10251
401	6879	10233
402	6896	10216
403	6915	10201
404	6931	10183
405	6947	10164
406	6964	10147
407	6980	10128
408	6997	10111
409	7014	10093
410	7030	10074
411	7045	10055
412	7061	10035
413	7076	10016
414	7091	9997
415	7109	9980
416	7127	9964
417	7144	9946
418	7161	9930
419	7176	9910
420	7192	9892
421	7209	9874
422	7225	9855
423	7239	9835
424	7250	9808
425	7264	9787
426	7279	9768
427	7294	9748
428	7311	9732
429	7330	9716
430	7347	9699
431	7363	9681
432	7378	9662
433	7393	9641
434	7408	9623
435	7423	9602
436	7438	9583
437	7451	9561
438	7462	9536
439	7477	9516
440	7494	9499
441	7511	9482
442	7529	9467
443	7546	9450
444	7559	9427
445	7571	9405
446	7588	9387
447	7605	9371
448	7620	9351
449	7635	9331
450	7650	9312
451	7665	9293
452	7679	9273
453	7695	9255
454	7710	9235
455	7724	9215
456	7741	9198
457	7761	9184
458	7776	9165
459	7791	9146
460	7807	9128
461	7818	9104
462	7833	9085
463	7848	9066
464	7863	9047
465	7878	9028
466	7894	9009
467	7910	8992
468	7931	8979
469	7957	8973
470	7981	8963
471	8008	8958
472	8027	8943
473	8045	8928
474	8062	8911
475	8080	8894
476	8096	8877
477	8111	8858
478	8128	8840
479	8144	8823
480	8161	8806
481	8178	8789
482	8194	8771
483	8210	8753
484	8226	8735
485	8242	8717
486	8258	8699
487	8273	8680
488	8289	8662
489	8304	8643
490	8318	8623
491	8335	8606
492	8349	8586
493	8361	8564
494	8376	8545
495	8394	8529
496	8406	8507
497	8422	8489
498	8438	8471
499	8453	8453
500	8470	8436
501	8486	8418
502	8500	8399
503	8515	8380
504	8531	8362
505	8546	8344
506	8562	8325
507	8578	8308
508	8594	8290
509	8612	8274
510	8628	8256
511	8643	8238
512	8658	8220
513	8669	8197
514	8684	8178
515	8699	8159
516	8714	8141
517	8728	8121
518	8743	8103
519	8759	8085
520	8774	8067
521	8789	8048
522	8807	8032
523	8824	8016
524	8841	7999
525	8856	7981
526	8870	7961
527	8886	7943
528	8897	7922
529	8912	7903
530	8927	7884
531	8941	7866
532	8957	7848
533	8972	7830
534	8989	7813
535	9003	7793
536	9019	7776
537	9036	7759
538	9061	7750
539	9078	7733
540	9097	7718
541	9109	7697
542	9123	7678
543	9137	7659
544	9153	7641
545	9168	7623
546	9184	7606
547	9200	7588
548	9216	7571
549	9232	7553
550	9249	7537
551	9267	7521
552	9283	7503
553	9300	7487
554	9316	7470
555	9329	7450
556	9345	7432
557	9361	7415
558	9375	7396
559	9388	7376
560	9403	7358
561	9418	7340
562	9432	7321
563	9449	7304
564	9466	7288
565	9482	7270
566	9499	7254
567	9515	7237
568	9530	7219
569	9545	7200
570	9561	7183
571	9576	7165
572	9590	7146
573	9605	7128
574	9619	7110
575	9633	7091
576	9645	7071
577	9708	7088
578	9734	7078
579	9756	7064
580	9773	7048
581	9788	7030
582	9802	7011
583	9816	6992
584	9828	6972
585	9842	6953
586	9856	6934
587	9871	6916
588	9887	6899
589	9901	6880
590	9916	6862
591	9931	6844
592	9950	6829
593	9966	6812
594	9981	6794
595	9999	6778
596	10015	6760
597	10029	6742
598	10040	6721
599	10056	6704
600	10072	6686
601	10086	6668
602	10101	6650
603	10115	6632
604	10131	6614
605	10148	6598
606	10166	6582
607	10184	6566
608	10201	6549
609	10216	6531
610	10231	6514
611	10248	6497
612	10264	6480
613	10279	6462
614	10296	6445
615	10310	6427
616	10324	6408
617	10335	6388
618	10349	6370
619	10366	6353
620	10383	6337
621	10400	6320
622	10422	6306
623	10432	6286
624	10447	6268
625	10462	6250
626	10478	6233
627	10493	6216
628	10508	6198
629	10523	6180
630	10537	6162
631	10548	6141
632	10562	6124
633	10580	6107
634	10596	6090
635	10612	6073
636	10629	6057
637	10645	6039
638	10659	6022
639	10673	6003
640	10689	5986
641	10704	5969
642	10718	5950
643	10729	5931
644	10743	5913
645	10757	5894
646	10772	5877
647	10789	5861
648	10808	5845
649	10824	5828
650	10841	5811
651	10856	5794
652	10871	5777
653	10886	5759
654	10902	5742
655	10919	5725
656	10933	5708
657	10948	5690
658	10958	5670
659	10972	5652
660	10994	5638
661	11012	5622
662	11030	5606
663	11045	5589
664	11060	5571
665	11071	5552
666	11085	5534
667	11101	5517
668	11117	5500
669	11132	5483
670	11147	5465
671	11162	5448
672	11178	5431
673	11192	5413
674	11207	5396
675	11224	5379
676	11242	5364
677	11260	5347
678	11277	5331
679	11291	5313
680	11305	5295
681	11317	5276
682	11331	5259
683	11347	5242
684	11362	5225
685	11377	5207
686	11395	5191
687	11415	5176
688	11443	5165
689	11471	5153
690	11494	5140
691	11523	5129
692	11542	5113
693	11559	5096
694	11576	5080
695	11592	5063
696	11606	5045
697	11621	5028
698	11637	5011
699	11653	4994
700	11669	4977
701	11686	4960
702	11701	4943
703	11717	4926
704	11732	4909
705	11744	4890
706	11756	4872
707	11770	4854
708	11785	4837
709	11799	4819
710	11813	4802
711	11828	4784
712	11841	4766
713	11853	4747
714	11868	4730
715	11886	4714
716	11903	4698
717	11925	4683
718	11942	4667
719	11962	4652
720	11985	4637
721	12013	4625
722	12031	4609
723	12047	4592
724	12064	4576
725	12082	4560
726	12100	4543
727	12118	4527
728	12133	4510
729	12147	4493
730	12161	4475
731	12176	4458
732	12191	4440
733	12206	4423
734	12222	4406
735	12235	4388
736	12250	4371
737	12260	4352
738	12274	4335
739	12289	4317
740	12305	4300
741	12322	4284
742	12337	4267
743	12351	4250
744	12364	4232
745	12376	4213
746	12391	4196
747	12404	4179
748	12419	4161
749	12434	4144
750	12447	4127
751	12457	4108
752	12471	4090
753	12484	4073
754	12499	4055
755	12515	4039
756	12531	4022
757	12549	4006
758	12564	3989
759	12579	3972
760	12591	3954
761	12604	3936
762	12620	3920
763	12637	3903
764	12652	3886
765	12668	3870
766	12683	3853
767	12699	3836
768	12715	3819
769	12732	3803
770	12750	3787
771	12770	3771
772	12786	3754
773	12801	3737
774	12817	3721
775	12831	3703
776	12848	3687
777	12864	3670
778	12880	3654
779	12896	3637
780	12912	3620
781	12929	3604
782	12948	3588
783	12968	3572
784	12988	3557
785	13002	3540
786	13014	3522
787	13028	3505
788	13042	3487
789	13057	3470
790	13076	3455
791	13104	3441
792	13124	3426
793	13144	3410
794	13168	3395
795	13191	3380
796	13209	3364
797	13224	3347
798	13239	3330
799	13253	3313
800	13269	3296
801	13284	3279
802	13298	3262
803	13308	3244
804	13323	3227
805	13336	3209
806	13351	3193
807	13366	3176
808	13383	3159
809	13401	3143
810	13416	3126
811	13430	3109
812	13443	3092
813	13454	3074
814	13467	3057
815	13482	3040
816	13497	3023
817	13511	3006
818	13526	2989
819	13537	2971
820	13553	2954
821	13567	2937
822	13581	2921
823	13597	2904
824	13613	2887
825	13628	2870
826	13643	2854
827	13657	2837
828	13668	2819
829	13681	2802
830	13696	2785
831	13712	2768
832	13727	2752
833	13740	2734
834	13751	2717
835	13765	2700
836	13779	2683
837	13794	2666
838	13812	2650
839	13826	2633
840	13840	2616
841	13854	2599
842	13865	2582
843	13879	2565
844	13893	2548
845	13908	2531
846	13925	2515
847	13940	2498
848	13955	2482
849	13969	2465
850	13979	2447
851	13993	2430
852	14008	2414
853	14025	2397
854	14040	2381
855	14056	2364
856	14071	2347
857	14085	2331
858	14100	2314
859	14111	2297
860	14126	2280
861	14140	2263
862	14155	2247
863	14168	2230
864	14182	2213
865	14192	2196
866	14207	2179
867	14224	2163
868	14240	2146
869	14256	2130
870	14270	2113
871	14284	2096
872	14298	2080
873	14314	2063
874	14326	2046
875	14339	2029
876	14354	2013
877	14368	1996
878	14382	1979
879	14397	1963
880	14411	1946
881	14421	1929
882	14437	1912
883	14454	1896
884	14469	1880
885	14485	1863
886	14500	1847
887	14514	1830
888	14531	1814
889	14545	1797
890	14561	1781
891	14574	1764
892	14585	1747
893	14598	1730
894	14612	1714
895	14627	1697
896	14641	1681
897	14654	1664
898	14672	1648
899	14683	1631
900	14699	1615
901	14713	1598
902	14727	1582
903	14743	1565
904	14758	1549
905	14772	1532
906	14786	1516
907	14797	1499
908	14810	1482
909	14824	1466
910	14838	1449
911	14850	1432
912	14863	1416
913	14881	1400
914	14899	1384
915	14914	1367
916	14925	1350
917	14942	1334
918	14958	1318
919	14972	1301
920	14986	1285
921	14999	1268
922	15013	1252
923	15024	1235
924	15036	1219
925	15052	1202
926	15068	1186
927	15084	1170
928	15100	1154
929	15114	1137
930	15129	1121
931	15146	1105
932	15161	1088
933	15175	1072
934	15188	1055
935	15199	1039
936	15213	1022
937	15227	1006
938	15241	990
939	15255	973
940	15268	957
941	15286	941
942	15300	924
943	15312	908
944	15327	892
945	15341	875
946	15355	859
947	15369	843
948	15383	826
949	15394	810
950	15408	793
951	15423	777
952	15437	761
953	15453	745
954	15469	728
955	15484	712
956	15503	696
957	15519	680
958	15536	664
959	15550	647
960	15563	631
961	15573	615
962	15589	598
963	15603	582
964	15618	566
965	15632	550
966	15648	534
967	15661	517
968	15675	501
969	15688	485
970	15702	468
971	15719	452
972	15734	436
973	15749	420
974	15762	404
975	15775	387
976	15787	371
977	15798	355
978	15813	339
979	15828	323
980	15843	306
981	15857	290
982	15871	274
983	15883	258
984	15897	242
985	15912	225
986	15929	209
987	15945	193
988	15959	177
989	15974	161
990	15987	145
991	16000	129
992	16011	112
993	16025	96
994	16039	80
995	16054	64
996	16068	48
997	16082	32
998	16094	16
999	16107	0
